"ScatID","sample","scat.number","CollectionType","scatseason","CollectionDate","Easting","Northing","e","e.m","YEAR","YrsSinceDi","TREATMENT_","class","hja","logged","Amphibia","Aves","Mammalia","Reptilia","Gastropoda","Arachnida","myriapoda","Insecta","Streptophyta"
"MT907","MT",907,"MT","wet",2018-11-13 00:00:00,560258,4896140,1532.356183,467.1817632,NA,200,NA,3,1,0,0,0,0,0,0,0,0,0,3
"MT908","MT",908,"MT","wet",2018-10-27 00:00:00,564965,4900087,2451.35386,747.3639816,NA,200,NA,3,1,0,0,0,1,0,0,0,1,1,5
"MT909","MT",909,"MT","wet",2018-11-13 00:00:00,560258,4896140,1532.356183,467.1817632,NA,200,NA,3,1,0,0,0,1,0,3,0,1,1,1
"MT916","MT",916,"MT","wet",2019-01-25 00:00:00,561108,4894725,2729.962105,832.3055197,1946,72,"Clearcut",2,0,1,1,0,1,0,0,0,1,1,0
"MT918","MT",918,"MT","dry",2018-09-12 00:00:00,569599,4895348,4919.560164,1499.865904,NA,200,NA,3,1,0,0,0,1,0,1,0,0,1,0
"MT927","MT",927,"MT","dry",2018-09-19 00:00:00,562316,4896243,2615.465712,797.398083,1951,67,"Clearcut",2,1,1,1,0,1,0,0,0,1,1,7
"S22-117","22",117,"S","dry",2018-08-03 07:27:00,564137,4901869,2373.237654,723.5480652,1980,38,"Commercial Thinning",1,0,1,0,0,0,0,0,1,0,1,0
"S22-118","22",118,"S","dry",2018-08-03 07:34:00,564140,4901846,2419.885201,737.7698783,1980,38,"Commercial Thinning",1,0,1,1,0,0,0,0,0,1,2,0
"S22-119","22",119,"S","dry",2018-08-03 07:41:00,564140,4901846,2419.885201,737.7698783,1980,38,"Commercial Thinning",1,0,1,1,0,1,0,0,0,0,1,0
"S22-154","22",154,"S","dry",2018-08-06 12:24:00,564696,4902194,2427.124372,739.9769426,NA,200,NA,3,0,0,0,0,0,0,0,0,1,1,0
"S22-155","22",155,"S","dry",2018-08-06 12:29:00,564696,4902194,2427.124372,739.9769426,NA,200,NA,3,0,0,0,0,0,0,0,0,1,1,0
"S22-156","22",156,"S","dry",2018-08-06 13:05:00,564696,4902194,2427.124372,739.9769426,NA,200,NA,3,0,0,0,0,0,0,0,0,1,1,0
"S22-157","22",157,"S","dry",2018-08-06 13:05:00,564696,4902194,2427.124372,739.9769426,NA,200,NA,3,0,0,0,0,0,0,0,0,0,1,1
"S22-158","22",158,"S","dry",2018-08-06 13:05:00,564696,4902194,2427.124372,739.9769426,NA,200,NA,3,0,0,0,0,0,0,0,0,0,1,0
"S22-159","22",159,"S","dry",2018-08-06 13:05:00,564696,4902194,2427.124372,739.9769426,NA,200,NA,3,0,0,0,0,1,0,0,0,0,2,6
"S22-160","22",160,"S","dry",2018-08-06 13:07:00,564696,4902194,2427.124372,739.9769426,NA,200,NA,3,0,0,0,0,0,0,0,0,0,1,6
"S22-161","22",161,"S","dry",2018-08-06 12:42:00,564733,4902162,2461.717523,750.523635,NA,200,NA,3,0,0,0,1,0,0,0,0,0,1,0
"S22-4","22",4,"S","dry",2018-07-03 09:40:00,564331,4902442,2022.055174,616.4802359,NA,200,NA,3,0,0,0,0,1,0,0,0,1,2,0
"S22-5","22",5,"S","dry",2018-07-03 10:47:00,564526,4902142,2384.147913,726.8743637,NA,200,NA,3,0,0,0,0,0,0,0,0,1,0,5
"S22-6","22",6,"S","dry",2018-07-03 11:30:00,564631,4902115,2549.445148,777.2698622,NA,200,NA,3,0,0,0,0,0,0,0,0,1,1,6
"S22-74","22",74,"S","dry",2018-07-30 08:57:00,565270,4900756,2690.215166,820.1875506,1953,65,"Clearcut",2,1,1,0,0,0,0,1,0,0,1,2
